deutsche_verben:
----------------

sein: ich bin, du bist, es ist, wir sind, ihr seid, sie sind
kennen: ich kenne, du kennst, es kennt, wir kennen, ihr kennt, sie kennen
auszudrücken: ich drücke aus, du drückst aus, es drückt aus, wir drücken aus, ihr drückt aus, sie drücken aus
zeigen: ich zeige, du zeigst, es zeigt, wir zeigen, ihr zeigt, sie zeigen





Hobbys:
kochen: ich koche, du kochst, es kocht, wir kochen, ihr kocht, sie kochen
spielen: ich spiele, du spielts, es spielt, wir spielen, ihr spielt, sie spielen
schwimmen: ich schwimme, du schwimmst, es schwimmt, wir schwimmen, ihr schwimmt, sie schwimmen
malen: ich male, du malst, es malt, wir malen, ihr malt, sie malen
wandern: ich wandere, du wanderst, es wandert, wir wandern, ihr wandert, sie wandern
+reisen: ich reise, du reist, es reist, wir reisen, ihr reist, sie reisen
singen: ich singe, du singst, es singt, wir singen, ihr singt, sie singen
fotografieren: ich fotografiere, du fotografierst, es fotografiert, wir fotografieren, ihr fotografiert, sie fotografieren
tanzen: ich tanze, du tanzt, es tanzt, wir tanzen, ihr tanzt, sie tanzen
surfen: ich surfe, du surfst, es surft, wir surfen, ihr surft, sie surfen
campen: ich campe, du camst, es campt, wir campen, ihr campt, sie campen
joggen: ich jogge, du joggst, es joggt, wir joggen, ihr joggt, sie joggen




arbeiten: ich arbeite, du arbeitest, es arbeitet, wir arbeiten, ihr arbeitet, sie arbeiten
lernen: ich lerne, du lernst, es lernt, wir lernen, ihr lernt, sie lernen
+essen: ich esse, du isst, es isst, wir essen, ihr esst, sie essen
trinken: ich trinke, du trinkst, es trinkt, wir trinken, ihr trinkt, sie trinken
frühstücken: ich frühstücke, du frühstückst, es frühstückt, wir frühstücken, ihr frühstückt, sie frühstücken
*helfen: ich helfe, du hilfst, es hilft, wir helfen, ihr helft, sie helfen
*nehmen: ich nehme, du nimmst, es nimmt, wir nehmen, ihr nehmt, sie nehmen
brauchen: ich brauche, du brauchst, es braucht, wir brauchen, ihr braucht, sie brauchen
*schlafen: ich schlafe, du schläfst, es schläft, wir schlafen, ihr schlaft, sie schlafen
+passen: ich passe, du passt, es passt, wir passen, ihr passt, sie passen
bestellen: ich bestelle, du bestellst, es bestellt, wir bestellen, ihr bestellt, sie bestellen
besuchen: ich besuche, du besuchst, es besucht, wir besuchen, ihr besucht, sie besuchen
giben: ich gebe, du gibst, es gibt, wir geben, ihr gebt, sie geben
studieren: ich studiere, du studierst, es studiert, wir studieren, ihr studiert, sie studieren
treffen: ich treffe, du triffst, es trifft, wir treffen, ihr trefft, sie treffen
liegen: ich liege, du liegst, es liegt, wir liegen, ihr liegt, sie liegen
schmecken: ich schmecke, du schmeckst, es schmeckt, wir schmecken, ihr schmeckt, sie schmecken



*fahren: ich fahre, du fährst, es fährt, wir fahren, ihr fahrt, sie fahren
fliegen: ich fliege, du fliegst, es fliegt, wir fliegen, ihr fliegt, sie fliegen
*laufen: ich laufe, du läufst, es läuft, wir laufen, ihr lauft, sie laufen
spazieren: ich spaziere, du spazierst, es spaziert, wir spazieren, ihr spaziert, sie spazieren
*fallen: ich falle, du fällst, es fällt, wir fallen, ihr fallt, sie fallen
stehen: ich stehe, du stehst, es steht, wir stehen, ihr steht, sie stehen
+sitzen: ich sitze, du sitzt, es sitzt, wir sitzen, ihr sitzt, sie sitzen
bleiben: ich bleibe, du bleibst, es bleibt, wir bleiben, ihr bleibt, sie bleiben


öffnen: ich öffne, du öffst. es öfft, wir öffnen, ihr öfft, sie öffnen
schließen: ich schließe, du schließt, es schließt, wir schließen, ihr schließt, sie schließen
stornieren: ich storniere, du stornierst, es storniert, wir stornieren, ihr storniert, sie stornieren
wiederholen: ich wiederhole, du wiederholst, es wiederholt, wir wiederholen, ihr wiederholt, sie wiederholen
warten: ich warte, du wartest, es wartet, wir warten, ihr wartet, sie warten
dauern: ich dauere, du dauerst, es dauert, wir dauern, ihr dauert, sie dauern
beginnen: ich beginne, du beginnst, es beginnt, wir beginnen, ihr beginnt, sie beginnen
enden: iche ende, du endest, es endet, wir enden, ihr endet, sie endet

schreien: ich schreie, du schreist, es schreit, wir schreien, ihr schreit, sie schreien
schweigen: ich schweige, du schweigst, es schweigt, wir schweigen, ihr schweigt, sie schweigen
weinen: ich weine, du weinst, es weint, wir weinen, ihr weint, sie weinen
lachen: ich lache, du lachst, es lacht, wir lachen, ihr lacht, sie lachen
lächeln: ich lächle, du lächelst, es lächelt, wir lächeln, ihr lächelt, sie lächeln
überraschen: ich überrasche, du überraschst, es überrascht, wir überraschen, ihr überrascht, sie überraschen
langweilen: ich langweile, du langweilst, es langweilt, wir langweilen, ihr langweilt, sie langweilen
interessieren: ich interessiere, du interessierst, es interessiert, wir interessieren, ihr interessiert, sie interessieren
freuen: ich freue, du freust, es freut, wir freuen, ihr freut, sie freuen
ärgern: ich ärgere, du ärgerst, es ärgert, wir ärgern, ihr ärgert, sie ärgern
hassen: ich hasse, du hasst, es hasst, wir hassen, ihr hasst, sie hassen
schmerzen: ich schmerze, du schmerzt, es schmerzt, wir schmerzen, ihr schmerzt, sie schmerzen
vermissen: ich vermisse, du vermisst, es vermisst, wir vermissen, ihr vermisst, sie vermissen
verzeihen: ich verzeihe, du verzeihst, es verzeiht, wir verzeihen, ihr verzeiht, sie verzeihen


feiern: ich feiere, du feierst, es feiert, wir feiern, ihr feiert, sie feiern
+putzen: ich putze, du putzt, es putzt, wir putzen, ihr putzt, sie putzen
aussehen: ich sehe aus, du siehst aus, es sieht aus, wir sehen aus, ihr seht aus, sie sehen aus




schießen: ich schieße, du schießt, es schießt, wir schießen, ihr schießt, sie schießen
töten: ich töte, du tötest, es tötet, wir töten, ihr tötet, sie töten
schlagen: ich schlage, du schlägst, es schlägt, wir schlagen, ihr schlagt, sie schlagen
schneiden: ich schneide, du schneidest, es schneidet, wir schneiden, ihr schneidet, sie schneiden




- für das Wetter:
regnen: es regnet
schneien: es schneit


- in der Küche:
kochen: ich koche, du kochst, es kocht, wir kochen, ihr kocht, sie kochen
backen: ich backe, du backst, es backt, wir backen, ihr backt, sie backen
grillen: ich grille, du grillst, es grillt, wir grillen, ihr grillt, sie grillen
braten: ich brate, du brätst, es brät, wir braten, ihr bratet, sie braten
fritieren: ich fritiere, du fritierst, es fritiert, wir fritieren, ihr fritiert, sie fritieren
dämpfen: ich dämpfe, du dämpfst, es dämpft, wir dämpfen, ihr dämpft, sie dämpfen
dünsten: ich dünste, du dünstest, es dünstet, wir dünsten, ihr dünstet, sie dünsten

schneiden: ich schneide, du schneidest, es schneidet, wir schneiden, ihr schneidet, sie schneiden
schälen: ich schäle, du schälst, es schält, wir schälen, ihr schält, sie schälen
reiben: ich reibe, du reibst, es reibt, wir reiben, ihr reibt, sie reiben
würzen: ich würze, du würzt, es würzt, wir würzen, ihr würzt, sie würzen

waschen: ich wasche, du wäschst, es wäscht, wir waschen, ihr wascht, sie waschen
abswaschen: ich wasche ab, du wäschst ab, es wäscht ab, wir waschen ab, ihr wascht ab, sie waschen ab



"to use":
- für einen bestimmten Zweck:
verwenden: ich verwende, du verwendest, es verwendet, wir verwenden, ihr verwendet, sie verwenden

- für profitieren:
nützen: ich nütze, du nützt, es nützt, wir nützen, ihr nützt, sie nützen

- für einen allgemeinen Zweck:
nutzen: ich nutze, du nutzt, es nutzt, wir nutzen, ihr nutzt, sie nutzen







# die Konjugation:
## Präsens/Gegenwart: Standard
Ich spiele, du gehst


## Päteritum/Imperfekt: -te/-ten
-starke Verben:
sein/waren: ich war, du warst, es war, wir waren, ihr wart, sie waren
gehen/gingen: ich ging, du gingst, es ging, wir gingen, ihr gingt, sie gingen
wissen/wussten: ich wusste, du wusstest, es wusste, wir wussten, ihr wusstet, sie wussten

-schwache Verben:
haben/hatten: ich hatte, du hattest, es hatte, wir hatten, ihr hattet, sie hatten
spielen/spielten: ich spielte, du spieltest, es spielte, wir spielten, ihr spieltet, sie spielten
können/konnten: ich konnte, du konntest, es konnte, wir konnten, ihr konntet, sie konnten
machen/machten: ich machte, du machtest, es machte, wir machten, ihr machtet, sie machten
wollen/wollten: ich wollte, du wolltest, es wollte, wir wollten, ihr wolltet, sie wollten
sollen/sollten: ich sollte, du solltest, es sollte, wir sollten, ihr solltet, sie sollten
müssen/mussten: ich musste, du musstest, es musste, wir mussten, ihr musstet, sie mussten



## Partizip I (present continous): -end/-nd
Ich bin spielend, du bist gehend


## Partizip II (past participle): ge- -t/-en
Ich habe gespielt, du hast gegangen


